estimator,quantile,n,distribution,efficiency
HD,0.01,17,"T(3)",0.9291869418727825
HD,0.01,17,"T(4)",0.9773724831230434
HD,0.01,17,"T(5)",0.9961964198527357
HD,0.01,18,"Beta(2,2)",1.1003122046086768
HD,0.01,18,"Beta(3,3)",1.0848119781507628
HD,0.01,18,"Beta(4,4)",1.080085355041379
HD,0.01,18,"Beta(5,5)",1.0752901206636507
HD,0.01,18,"U(0,1)",1.1345471534173603
HD,0.01,18,"N(0,1)",1.0547727977819117
HD,0.01,18,"DE(0,1)",1.0271684472886784
HD,0.01,18,"Cauchy(0,1)",0.7578551634769246
HD,0.01,18,"T(2)",0.8236673167320371
HD,0.01,18,"T(3)",0.9444043059425911
HD,0.01,18,"T(4)",0.9672217426994857
HD,0.01,18,"T(5)",0.9890853992082037
HD,0.01,19,"Beta(2,2)",1.1043476215943704
HD,0.01,19,"Beta(3,3)",1.0934883848816768
HD,0.01,19,"Beta(4,4)",1.0828815949686035
HD,0.01,19,"Beta(5,5)",1.0795380428359047
HD,0.01,19,"U(0,1)",1.1396832742178833
HD,0.01,19,"N(0,1)",1.0525926757357607
HD,0.01,19,"DE(0,1)",1.0239799905692497
HD,0.01,19,"Cauchy(0,1)",0.7434144625611657
HD,0.01,19,"T(2)",0.8267380093504911
HD,0.01,19,"T(3)",0.9143578490789736
HD,0.01,19,"T(4)",0.9556571525863921
HD,0.01,19,"T(5)",0.9881913333070416
HD,0.01,20,"Beta(2,2)",1.107813482746891
HD,0.01,20,"Beta(3,3)",1.0947261049914836
HD,0.01,20,"Beta(4,4)",1.0860255201382003
HD,0.01,20,"Beta(5,5)",1.082574992702834
HD,0.01,20,"U(0,1)",1.15096188678766
HD,0.01,20,"N(0,1)",1.0568508807877126
HD,0.01,20,"DE(0,1)",1.0240259578341548
HD,0.01,20,"Cauchy(0,1)",0.7312968904994119
HD,0.01,20,"T(2)",0.8026833327962016
HD,0.01,20,"T(3)",0.9039072635797192
HD,0.01,20,"T(4)",0.9422050859797335
HD,0.01,20,"T(5)",0.9826071349619806
HD,0.01,21,"Beta(2,2)",1.1172392204169561
HD,0.01,21,"Beta(3,3)",1.100674913878701
HD,0.01,21,"Beta(4,4)",1.0935700982302863
HD,0.01,21,"Beta(5,5)",1.0862533708057622
HD,0.01,21,"U(0,1)",1.1567157497544056
HD,0.01,21,"N(0,1)",1.0575254297253964
HD,0.01,21,"DE(0,1)",1.0257108811327633
HD,0.01,21,"Cauchy(0,1)",0.7173018727882335
HD,0.01,21,"T(2)",0.7839308204437045
HD,0.01,21,"T(3)",0.8792066241374294
HD,0.01,21,"T(4)",0.9531991518287048
HD,0.01,21,"T(5)",0.9683369770122504
HD,0.01,22,"Beta(2,2)",1.1236760641215024
HD,0.01,22,"Beta(3,3)",1.1089371905684722
HD,0.01,22,"Beta(4,4)",1.0948052530274066
HD,0.01,22,"Beta(5,5)",1.0865076253431716
HD,0.01,22,"U(0,1)",1.1671504782641124
HD,0.01,22,"N(0,1)",1.0617205077745984
HD,0.01,22,"DE(0,1)",1.0220325592359698
HD,0.01,22,"Cauchy(0,1)",0.7032952852000222
HD,0.01,22,"T(2)",0.7639878757427057
HD,0.01,22,"T(3)",0.8725579796898644
HD,0.01,22,"T(4)",0.9372743241316213
HD,0.01,22,"T(5)",0.9749728012144961
HD,0.01,23,"Beta(2,2)",1.1294930109558656
HD,0.01,23,"Beta(3,3)",1.109257727251223
HD,0.01,23,"Beta(4,4)",1.0976878742945209
HD,0.01,23,"Beta(5,5)",1.09461387525637
HD,0.01,23,"U(0,1)",1.1777997378047238
HD,0.01,23,"N(0,1)",1.0690371514277124
HD,0.01,23,"DE(0,1)",1.0175587855718673
HD,0.01,23,"Cauchy(0,1)",0.6923014756153244
HD,0.01,23,"T(2)",0.7693041434095653
HD,0.01,23,"T(3)",0.8808810727776647
HD,0.01,23,"T(4)",0.9182888457590441
HD,0.01,23,"T(5)",0.9524034925840092
HD,0.01,24,"Beta(2,2)",1.1391565276343985
HD,0.01,24,"Beta(3,3)",1.1119503525645753
HD,0.01,24,"Beta(4,4)",1.1015460489506117
HD,0.01,24,"Beta(5,5)",1.0955968000047855
HD,0.01,24,"U(0,1)",1.1896715290574649
HD,0.01,24,"N(0,1)",1.0589054326004486
HD,0.01,24,"DE(0,1)",1.0182591282193776
HD,0.01,24,"Cauchy(0,1)",0.6785703933511246
HD,0.01,24,"T(2)",0.762408349750711
HD,0.01,24,"T(3)",0.8591480823456946
HD,0.01,24,"T(4)",0.9155511661535888
HD,0.01,24,"T(5)",0.9636349340505175
HD,0.01,25,"Beta(2,2)",1.1420158820663444
HD,0.01,25,"Beta(3,3)",1.1246074957195333
HD,0.01,25,"Beta(4,4)",1.1141469387468044
HD,0.01,25,"Beta(5,5)",1.0955260301601266
HD,0.01,25,"U(0,1)",1.1952095212690697
HD,0.01,25,"N(0,1)",1.0606582438180403
HD,0.01,25,"DE(0,1)",1.0082365540263485
HD,0.01,25,"Cauchy(0,1)",0.6659609544988311
HD,0.01,25,"T(2)",0.7107968990870839
HD,0.01,25,"T(3)",0.8465472762863773
HD,0.01,25,"T(4)",0.9166597039859159
HD,0.01,25,"T(5)",0.9313525896485838
HD,0.01,26,"Beta(2,2)",1.1504741996188037
HD,0.01,26,"Beta(3,3)",1.1221417012922372
HD,0.01,26,"Beta(4,4)",1.1114398151832106
HD,0.01,26,"Beta(5,5)",1.1040954039564483
HD,0.01,26,"U(0,1)",1.2157616085223382
HD,0.01,26,"N(0,1)",1.062503228816671
HD,0.01,26,"DE(0,1)",1.0050524655538784
HD,0.01,26,"Cauchy(0,1)",0.6523995433259445
HD,0.01,26,"T(2)",0.7195687758025328
HD,0.01,26,"T(3)",0.8181105949186664
HD,0.01,26,"T(4)",0.8759727936480414
HD,0.01,26,"T(5)",0.939098290263658
HD,0.01,27,"Beta(2,2)",1.1578542993144179
HD,0.01,27,"Beta(3,3)",1.1293204600230085
HD,0.01,27,"Beta(4,4)",1.1231555840763665
HD,0.01,27,"Beta(5,5)",1.102226135282983
HD,0.01,27,"U(0,1)",1.2137450480224163
HD,0.01,27,"N(0,1)",1.0570947604144705
HD,0.01,27,"DE(0,1)",1.014427536294621
HD,0.01,27,"Cauchy(0,1)",0.6391351813516966
HD,0.01,27,"T(2)",0.7173347641016221
HD,0.01,27,"T(3)",0.7964496414219665
HD,0.01,27,"T(4)",0.8823594198432421
HD,0.01,27,"T(5)",0.931021249825761
HD,0.01,28,"Beta(2,2)",1.16040211912054
HD,0.01,28,"Beta(3,3)",1.1269266753384513
HD,0.01,28,"Beta(4,4)",1.1233759869161903
HD,0.01,28,"Beta(5,5)",1.1087599135232675
HD,0.01,28,"U(0,1)",1.2117864803263088
HD,0.01,28,"N(0,1)",1.054593859532464
HD,0.01,28,"DE(0,1)",1.0005379930344815
HD,0.01,28,"Cauchy(0,1)",0.6279829579780667
HD,0.01,28,"T(2)",0.6848235715169368
HD,0.01,28,"T(3)",0.8087724509735782
HD,0.01,28,"T(4)",0.8727711879920587
HD,0.01,28,"T(5)",0.9175807828141519
HD,0.01,29,"Beta(2,2)",1.1649288157184758
HD,0.01,29,"Beta(3,3)",1.1384967826486296
HD,0.01,29,"Beta(4,4)",1.121721158494373
HD,0.01,29,"Beta(5,5)",1.1119743798985777
HD,0.01,29,"U(0,1)",1.2336535566034001
HD,0.01,29,"N(0,1)",1.0571353384348572
HD,0.01,29,"DE(0,1)",1.005489837079721
HD,0.01,29,"Cauchy(0,1)",0.6147220934327549
HD,0.01,29,"T(2)",0.6809735219624038
HD,0.01,29,"T(3)",0.8113581267690245
HD,0.01,29,"T(4)",0.8813130707286627
HD,0.01,29,"T(5)",0.9133385065051824
HD,0.01,30,"Beta(2,2)",1.174758445900254
HD,0.01,30,"Beta(3,3)",1.1414115211609583
HD,0.01,30,"Beta(4,4)",1.1305433959029156
HD,0.01,30,"Beta(5,5)",1.1096741085228135
HD,0.01,30,"U(0,1)",1.24835381689463
HD,0.01,30,"N(0,1)",1.0632797136691703
HD,0.01,30,"DE(0,1)",0.9845050111552752
HD,0.01,30,"Cauchy(0,1)",0.6019312756070506
HD,0.01,30,"T(2)",0.6530415349822153
HD,0.01,30,"T(3)",0.809207661982805
HD,0.01,30,"T(4)",0.8626695562280141
HD,0.01,30,"T(5)",0.8932779223006092
HD,0.01,31,"Beta(2,2)",1.176497062520525
HD,0.01,31,"Beta(3,3)",1.1473161331693662
HD,0.01,31,"Beta(4,4)",1.1277978111432707
HD,0.01,31,"Beta(5,5)",1.114722302564376
HD,0.01,31,"U(0,1)",1.2511762315786594
HD,0.01,31,"N(0,1)",1.0649748347120316
HD,0.01,31,"DE(0,1)",0.9815487930639537
HD,0.01,31,"Cauchy(0,1)",0.5895374538797004
HD,0.01,31,"T(2)",0.6458924525246155
HD,0.01,31,"T(3)",0.7722796623467
HD,0.01,31,"T(4)",0.8596834720504996
HD,0.01,31,"T(5)",0.8831450289849456
HD,0.01,32,"Beta(2,2)",1.1882815887301628
HD,0.01,32,"Beta(3,3)",1.1511899193896749
HD,0.01,32,"Beta(4,4)",1.1305638853100957
HD,0.01,32,"Beta(5,5)",1.1161400235370331
HD,0.01,32,"U(0,1)",1.264673999594229
HD,0.01,32,"N(0,1)",1.0626079413986318
HD,0.01,32,"DE(0,1)",0.9824945355361536
HD,0.01,32,"Cauchy(0,1)",0.5766381947966714
HD,0.01,32,"T(2)",0.653244786011347
HD,0.01,32,"T(3)",0.7941632225147724
HD,0.01,32,"T(4)",0.8250115883641508
HD,0.01,32,"T(5)",0.8742257737205219
HD,0.01,33,"Beta(2,2)",1.1906783706148596
HD,0.01,33,"Beta(3,3)",1.1584772840280557
HD,0.01,33,"Beta(4,4)",1.1371139899380283
HD,0.01,33,"Beta(5,5)",1.1208693721600442
HD,0.01,33,"U(0,1)",1.2638341828097444
HD,0.01,33,"N(0,1)",1.057434286468623
HD,0.01,33,"DE(0,1)",0.987187853842721
HD,0.01,33,"Cauchy(0,1)",0.564845921497831
HD,0.01,33,"T(2)",0.6242873631314361
HD,0.01,33,"T(3)",0.7598700704725807
HD,0.01,33,"T(4)",0.8390551980398858
HD,0.01,33,"T(5)",0.894712127874366
HD,0.01,34,"Beta(2,2)",1.2051488713921579
HD,0.01,34,"Beta(3,3)",1.1608156746965315
HD,0.01,34,"Beta(4,4)",1.144828138486387
HD,0.01,34,"Beta(5,5)",1.125996141023254
HD,0.01,34,"U(0,1)",1.2692702864726748
HD,0.01,34,"N(0,1)",1.06596198849414
HD,0.01,34,"DE(0,1)",0.9845481170034728
HD,0.01,34,"Cauchy(0,1)",0.5551483394958836
HD,0.01,34,"T(2)",0.6261195381030321
HD,0.01,34,"T(3)",0.7333159328258828
HD,0.01,34,"T(4)",0.8132987474319413
HD,0.01,34,"T(5)",0.8733223435235505
HD,0.01,35,"Beta(2,2)",1.2047433370776366
HD,0.01,35,"Beta(3,3)",1.1642151514677817
HD,0.01,35,"Beta(4,4)",1.1426528657905635
HD,0.01,35,"Beta(5,5)",1.1196596547508026
HD,0.01,35,"U(0,1)",1.2740338347740345
HD,0.01,35,"N(0,1)",1.0580009315750185
HD,0.01,35,"DE(0,1)",0.9672367706447166
HD,0.01,35,"Cauchy(0,1)",0.5413880656782886
HD,0.01,35,"T(2)",0.6142486223442875
HD,0.01,35,"T(3)",0.6862648319417451
HD,0.01,35,"T(4)",0.7853029495362989
HD,0.01,35,"T(5)",0.8699776302589218
HD,0.01,36,"Beta(2,2)",1.2026344354246612
HD,0.01,36,"Beta(3,3)",1.1760058615542315
HD,0.01,36,"Beta(4,4)",1.143096790888686
HD,0.01,36,"Beta(5,5)",1.1307286584677287
HD,0.01,36,"U(0,1)",1.2864199837456451
HD,0.01,36,"N(0,1)",1.0501551983209279
HD,0.01,36,"DE(0,1)",0.9650058846597364
HD,0.01,36,"Cauchy(0,1)",0.5288504851998483
HD,0.01,36,"T(2)",0.5740092951413336
HD,0.01,36,"T(3)",0.7095433326796334
HD,0.01,36,"T(4)",0.7904329572002258
HD,0.01,36,"T(5)",0.8413487261361401
HD,0.01,37,"Beta(2,2)",1.2140070389626767
HD,0.01,37,"Beta(3,3)",1.168327828151794
HD,0.01,37,"Beta(4,4)",1.1392094308216505
HD,0.01,37,"Beta(5,5)",1.1285718625404417
HD,0.01,37,"U(0,1)",1.3126148076939361
HD,0.01,37,"N(0,1)",1.0509060491813849
HD,0.01,37,"DE(0,1)",0.9597331688610404
HD,0.01,37,"Cauchy(0,1)",0.5167024610271475
HD,0.01,37,"T(2)",0.5573940205342298
HD,0.01,37,"T(3)",0.6828448336991534
HD,0.01,37,"T(4)",0.7959203628580787
HD,0.01,37,"T(5)",0.8266338572088273
HD,0.01,38,"Beta(2,2)",1.2203337557925429
HD,0.01,38,"Beta(3,3)",1.1765024145702947
HD,0.01,38,"Beta(4,4)",1.1456261833970376
HD,0.01,38,"Beta(5,5)",1.1359667720843498
HD,0.01,38,"U(0,1)",1.3037950863787975
HD,0.01,38,"N(0,1)",1.0428375427116041
HD,0.01,38,"DE(0,1)",0.9506023519087133
HD,0.01,38,"Cauchy(0,1)",0.5059474548153753
HD,0.01,38,"T(2)",0.5872779183577093
HD,0.01,38,"T(3)",0.6939027809288116
HD,0.01,38,"T(4)",0.784069503136822
HD,0.01,38,"T(5)",0.832368162019502
HD,0.01,39,"Beta(2,2)",1.232289146064404
HD,0.01,39,"Beta(3,3)",1.1805931394249183
HD,0.01,39,"Beta(4,4)",1.1498088852910597
HD,0.01,39,"Beta(5,5)",1.1352855360178031
HD,0.01,39,"U(0,1)",1.3121457845548923
HD,0.01,39,"N(0,1)",1.0523652656962366
HD,0.01,39,"DE(0,1)",0.9410031339973893
HD,0.01,39,"Cauchy(0,1)",0.49352305292103954
HD,0.01,39,"T(2)",0.5653690579305041
HD,0.01,39,"T(3)",0.6683272085547354
HD,0.01,39,"T(4)",0.7586337334449025
HD,0.01,39,"T(5)",0.8189292503849164
HD,0.01,40,"Beta(2,2)",1.2288639088997166
HD,0.01,40,"Beta(3,3)",1.1898444773420005
HD,0.01,40,"Beta(4,4)",1.162192413325895
HD,0.01,40,"Beta(5,5)",1.1294776345624067
HD,0.01,40,"U(0,1)",1.3598290090950302
HD,0.01,40,"N(0,1)",1.059100792832746
HD,0.01,40,"DE(0,1)",0.9388742679369241
HD,0.01,40,"Cauchy(0,1)",0.48285215111310753
HD,0.01,40,"T(2)",0.5538719542517135
HD,0.01,40,"T(3)",0.687513582354938
HD,0.01,40,"T(4)",0.7665402537743128
HD,0.01,40,"T(5)",0.8007336561304168
HD,0.01,41,"Beta(2,2)",1.246476765755092
HD,0.01,41,"Beta(3,3)",1.1879195362715336
HD,0.01,41,"Beta(4,4)",1.1603504146897101
HD,0.01,41,"Beta(5,5)",1.1402472282084923
HD,0.01,41,"U(0,1)",1.3572905602464678
HD,0.01,41,"N(0,1)",1.0489949454513854
HD,0.01,41,"DE(0,1)",0.940360354219048
HD,0.01,41,"Cauchy(0,1)",0.4700826160385555
HD,0.01,41,"T(2)",0.5301982625877923
HD,0.01,41,"T(3)",0.6711351109514765
HD,0.01,41,"T(4)",0.7462157028079202
HD,0.01,41,"T(5)",0.8006870848893056
HD,0.01,42,"Beta(2,2)",1.2411340814229153
HD,0.01,42,"Beta(3,3)",1.190886230251833
HD,0.01,42,"Beta(4,4)",1.1697632760626233
HD,0.01,42,"Beta(5,5)",1.1339654399036363
HD,0.01,42,"U(0,1)",1.3535340534397193
HD,0.01,42,"N(0,1)",1.0461505452474873
HD,0.01,42,"DE(0,1)",0.9305106169447461
HD,0.01,42,"Cauchy(0,1)",0.45900973848414706
HD,0.01,42,"T(2)",0.5337320019647481
HD,0.01,42,"T(3)",0.6269803623004959
HD,0.01,42,"T(4)",0.7082109156668809
HD,0.01,42,"T(5)",0.7690187202802627
HD,0.01,43,"Beta(2,2)",1.2533286107273913
HD,0.01,43,"Beta(3,3)",1.1948111118872564
HD,0.01,43,"Beta(4,4)",1.1675001832096024
HD,0.01,43,"Beta(5,5)",1.1387587381126187
HD,0.01,43,"U(0,1)",1.3547074211362664
HD,0.01,43,"N(0,1)",1.0365727193187055
HD,0.01,43,"DE(0,1)",0.9424917265040527
HD,0.01,43,"Cauchy(0,1)",0.449136824865288
HD,0.01,43,"T(2)",0.5083733396849114
HD,0.01,43,"T(3)",0.6320625786754961
HD,0.01,43,"T(4)",0.7289659954178443
HD,0.01,43,"T(5)",0.7844617734578851
HD,0.01,44,"Beta(2,2)",1.2657925952305316
HD,0.01,44,"Beta(3,3)",1.2009991623527358
HD,0.01,44,"Beta(4,4)",1.1701067446292688
HD,0.01,44,"Beta(5,5)",1.1446320495261815
HD,0.01,44,"U(0,1)",1.3751490629476175
HD,0.01,44,"N(0,1)",1.056526162191674
HD,0.01,44,"DE(0,1)",0.9334101027079551
HD,0.01,44,"Cauchy(0,1)",0.43899575672676133
HD,0.01,44,"T(2)",0.49670462456649805
HD,0.01,44,"T(3)",0.6106451216049965
HD,0.01,44,"T(4)",0.7116519942744246
HD,0.01,44,"T(5)",0.7668475822452594
HD,0.01,45,"Beta(2,2)",1.2794271151961898
HD,0.01,45,"Beta(3,3)",1.206232354025996
HD,0.01,45,"Beta(4,4)",1.1740721324379724
HD,0.01,45,"Beta(5,5)",1.1471638955874028
HD,0.01,45,"U(0,1)",1.3697912932642111
HD,0.01,45,"N(0,1)",1.0425849021822495
HD,0.01,45,"DE(0,1)",0.9074396875086305
HD,0.01,45,"Cauchy(0,1)",0.42499055825795007
HD,0.01,45,"T(2)",0.4904242344019336
HD,0.01,45,"T(3)",0.6038533563144878
HD,0.01,45,"T(4)",0.6945173002222397
HD,0.01,45,"T(5)",0.7530410242317409
HD,0.01,46,"Beta(2,2)",1.2756236878677123
HD,0.01,46,"Beta(3,3)",1.2114387005546008
HD,0.01,46,"Beta(4,4)",1.1704897499014215
HD,0.01,46,"Beta(5,5)",1.1408332361600946
HD,0.01,46,"U(0,1)",1.4016113922042417
HD,0.01,46,"N(0,1)",1.034637765559701
HD,0.01,46,"DE(0,1)",0.9138643590306367
HD,0.01,46,"Cauchy(0,1)",0.4151339781492024
HD,0.01,46,"T(2)",0.4728612992442341
HD,0.01,46,"T(3)",0.5885339042764676
HD,0.01,46,"T(4)",0.6741515058769284
HD,0.01,46,"T(5)",0.7543732195444002
HD,0.01,47,"Beta(2,2)",1.2835310636078543
HD,0.01,47,"Beta(3,3)",1.213996549854746
