distribution,x,pdf
"Beta(2,2)",0.188,0.9159359855459307
"Beta(2,2)",0.189,0.9196739854869426
"Beta(2,2)",0.19,0.923399985428144
"Beta(2,2)",0.191,0.9271139853695344
"Beta(2,2)",0.192,0.9308159853111145
"Beta(2,2)",0.193,0.9345059852528839
"Beta(2,2)",0.194,0.9381839851948429
"Beta(2,2)",0.195,0.9418499851369907
"Beta(2,2)",0.196,0.9455039850793284
"Beta(2,2)",0.197,0.9491459850218551
"Beta(2,2)",0.198,0.9527759849645714
"Beta(2,2)",0.199,0.9563939849074771
"Beta(2,2)",0.2,0.959999984850572
"Beta(2,2)",0.201,0.9635939847938562
"Beta(2,2)",0.202,0.9671759847373301
"Beta(2,2)",0.203,0.970745984680993
"Beta(2,2)",0.20400000000000001,0.9743039846248457
"Beta(2,2)",0.20500000000000002,0.9778499845688873
"Beta(2,2)",0.20600000000000002,0.9813839845131184
"Beta(2,2)",0.20700000000000002,0.984905984457539
"Beta(2,2)",0.20800000000000002,0.9884159844021492
"Beta(2,2)",0.209,0.991913984346948
"Beta(2,2)",0.21,0.9953999842919368
"Beta(2,2)",0.211,0.9988739842371147
"Beta(2,2)",0.212,1.002335984182482
"Beta(2,2)",0.213,1.0057859841280388
"Beta(2,2)",0.214,1.0092239840737849
"Beta(2,2)",0.215,1.0126499840197203
"Beta(2,2)",0.216,1.0160639839658452
"Beta(2,2)",0.217,1.0194659839121594
"Beta(2,2)",0.218,1.022855983858663
"Beta(2,2)",0.219,1.026233983805356
"Beta(2,2)",0.22,1.0295999837522383
"Beta(2,2)",0.221,1.03295398369931
"Beta(2,2)",0.222,1.036295983646571
"Beta(2,2)",0.223,1.0396259835940216
"Beta(2,2)",0.224,1.0429439835416614
"Beta(2,2)",0.225,1.0462499834894905
"Beta(2,2)",0.226,1.049543983437509
"Beta(2,2)",0.227,1.052825983385717
"Beta(2,2)",0.228,1.0560959833341144
"Beta(2,2)",0.229,1.0593539832827008
"Beta(2,2)",0.23,1.0625999832314768
"Beta(2,2)",0.231,1.0658339831804422
"Beta(2,2)",0.232,1.069055983129597
"Beta(2,2)",0.233,1.0722659830789412
"Beta(2,2)",0.234,1.0754639830284745
"Beta(2,2)",0.23500000000000001,1.0786499829781973
"Beta(2,2)",0.23600000000000002,1.0818239829281096
"Beta(2,2)",0.23700000000000002,1.0849859828782114
"Beta(2,2)",0.23800000000000002,1.0881359828285022
"Beta(2,2)",0.23900000000000002,1.0912739827789826
"Beta(2,2)",0.24,1.0943999827296518
"Beta(2,2)",0.241,1.0975139826805111
"Beta(2,2)",0.242,1.1006159826315594
"Beta(2,2)",0.243,1.103705982582797
"Beta(2,2)",0.244,1.1067839825342243
"Beta(2,2)",0.245,1.109849982485841
"Beta(2,2)",0.246,1.1129039824376465
"Beta(2,2)",0.247,1.115945982389642
"Beta(2,2)",0.248,1.1189759823418266
"Beta(2,2)",0.249,1.1219939822942004
"Beta(2,2)",0.25,1.124999982246764
"Beta(2,2)",0.251,1.1279939821995166
"Beta(2,2)",0.252,1.1309759821524588
"Beta(2,2)",0.253,1.13394598210559
"Beta(2,2)",0.254,1.136903982058911
"Beta(2,2)",0.255,1.1398499820124213
"Beta(2,2)",0.256,1.1427839819661207
"Beta(2,2)",0.257,1.14570598192001
"Beta(2,2)",0.258,1.148615981874088
"Beta(2,2)",0.259,1.1515139818283557
"Beta(2,2)",0.26,1.1543999817828128
"Beta(2,2)",0.261,1.157273981737459
"Beta(2,2)",0.262,1.160135981692295
"Beta(2,2)",0.263,1.16298598164732
"Beta(2,2)",0.264,1.1658239816025346
"Beta(2,2)",0.265,1.1686499815579385
"Beta(2,2)",0.266,1.1714639815135317
"Beta(2,2)",0.267,1.1742659814693144
"Beta(2,2)",0.268,1.1770559814252863
"Beta(2,2)",0.269,1.1798339813814476
"Beta(2,2)",0.27,1.1825999813377983
"Beta(2,2)",0.271,1.1853539812943383
"Beta(2,2)",0.272,1.1880959812510679
"Beta(2,2)",0.273,1.1908259812079864
"Beta(2,2)",0.274,1.1935439811650947
"Beta(2,2)",0.275,1.1962499811223926
"Beta(2,2)",0.276,1.1989439810798794
"Beta(2,2)",0.277,1.2016259810375556
"Beta(2,2)",0.278,1.2042959809954212
"Beta(2,2)",0.279,1.2069539809534762
"Beta(2,2)",0.28,1.2095999809117208
"Beta(2,2)",0.281,1.2122339808701543
"Beta(2,2)",0.28200000000000003,1.2148559808287775
"Beta(2,2)",0.28300000000000003,1.21746598078759
"Beta(2,2)",0.28400000000000003,1.2200639807465916
"Beta(2,2)",0.28500000000000003,1.2226499807057831
