estimator,quantile,n,distribution,efficiency
HD,0.01,15,"Normal(0,1^2)",1.0501862884175484
HD,0.01,15,"Weibull(1,2)",1.0807185316770829
HD,0.01,15,"Exp(1)",1.114699112034806
HD,0.01,15,"Cauchy(0,1)",0.8003842750613724
HD,0.01,15,"Pareto(1,0.5)",1.1321172403586706
HD,0.01,15,"LogNormal(0,3^2)",1.1904591712952206
HD,0.01,15,"Weibull(1,0.5)",1.18318848414718
HD,0.01,15,"Exp(1) + Outliers",1.1140299766507904
HD,0.01,16,"Uniform(0,1)",1.1159568895763716
HD,0.01,16,"Beta(2,10)",1.095030790060363
HD,0.01,16,"Normal(0,1^2)",1.0537413098324722
HD,0.01,16,"Weibull(1,2)",1.088321547462782
HD,0.01,16,"Exp(1)",1.1257100280144197
HD,0.01,16,"Cauchy(0,1)",0.7853774085006914
HD,0.01,16,"Pareto(1,0.5)",1.1502830835565703
HD,0.01,16,"LogNormal(0,3^2)",1.2160051225498991
HD,0.01,16,"Weibull(1,0.5)",1.1773754575790556
HD,0.01,16,"Exp(1) + Outliers",1.1233531132958776
HD,0.01,17,"Uniform(0,1)",1.129002592522138
HD,0.01,17,"Beta(2,10)",1.1006784746113563
HD,0.01,17,"Normal(0,1^2)",1.053331684227929
HD,0.01,17,"Weibull(1,2)",1.0926926629788543
HD,0.01,17,"Exp(1)",1.1335858655863595
HD,0.01,17,"Cauchy(0,1)",0.7710375103833317
HD,0.01,17,"Pareto(1,0.5)",1.1426488844178235
HD,0.01,17,"LogNormal(0,3^2)",1.1890516155766109
HD,0.01,17,"Weibull(1,0.5)",1.2215012582820572
HD,0.01,17,"Exp(1) + Outliers",1.136418716422932
HD,0.01,18,"Uniform(0,1)",1.1356779349280113
HD,0.01,18,"Beta(2,10)",1.107608513177717
HD,0.01,18,"Normal(0,1^2)",1.0563405413364144
HD,0.01,18,"Weibull(1,2)",1.0974473542773118
HD,0.01,18,"Exp(1)",1.1404032275631726
HD,0.01,18,"Cauchy(0,1)",0.7573202673360417
HD,0.01,18,"Pareto(1,0.5)",1.1500496617392473
HD,0.01,18,"LogNormal(0,3^2)",1.2094605565157557
HD,0.01,18,"Weibull(1,0.5)",1.1885459139173444
HD,0.01,18,"Exp(1) + Outliers",1.1469426354997474
HD,0.01,19,"Uniform(0,1)",1.1382623918001553
HD,0.01,19,"Beta(2,10)",1.1108126077239031
HD,0.01,19,"Normal(0,1^2)",1.0589690113306243
HD,0.01,19,"Weibull(1,2)",1.1038806887531716
HD,0.01,19,"Exp(1)",1.1460961491401187
HD,0.01,19,"Cauchy(0,1)",0.7430749288542847
HD,0.01,19,"Pareto(1,0.5)",1.158971303316534
HD,0.01,19,"LogNormal(0,3^2)",1.2465999284027598
HD,0.01,19,"Weibull(1,0.5)",1.2446678634602975
HD,0.01,19,"Exp(1) + Outliers",1.1540946988340808
HD,0.01,20,"Uniform(0,1)",1.1565191465267433
HD,0.01,20,"Beta(2,10)",1.119856739525129
HD,0.01,20,"Normal(0,1^2)",1.06045355933082
HD,0.01,20,"Weibull(1,2)",1.1099381592432782
HD,0.01,20,"Exp(1)",1.156394135471257
HD,0.01,20,"Cauchy(0,1)",0.7304969459352538
HD,0.01,20,"Pareto(1,0.5)",1.178935681219964
HD,0.01,20,"LogNormal(0,3^2)",1.2420781451492737
HD,0.01,20,"Weibull(1,0.5)",1.2213790862904388
HD,0.01,20,"Exp(1) + Outliers",1.156480968078572
HD,0.02,2,"Uniform(0,1)",1.0154918222711289
HD,0.02,2,"Beta(2,10)",1.0224107548512387
HD,0.02,2,"Normal(0,1^2)",1.0144723893900571
HD,0.02,2,"Weibull(1,2)",1.0195042420725706
HD,0.02,2,"Exp(1)",1.030724649139654
HD,0.02,2,"Cauchy(0,1)",0.98754047236778
HD,0.02,2,"Pareto(1,0.5)",18.843885779161464
HD,0.02,2,"LogNormal(0,3^2)",2.791925530522903
HD,0.02,2,"Weibull(1,0.5)",1.0619971482344257
HD,0.02,2,"Exp(1) + Outliers",3.338443670365525
HD,0.02,3,"Uniform(0,1)",1.0300297057972982
HD,0.02,3,"Beta(2,10)",1.0344119432781351
HD,0.02,3,"Normal(0,1^2)",1.0229856248873646
HD,0.02,3,"Weibull(1,2)",1.0306527032564152
HD,0.02,3,"Exp(1)",1.046049586486622
HD,0.02,3,"Cauchy(0,1)",0.9463881865867296
HD,0.02,3,"Pareto(1,0.5)",0.022249981195475683
HD,0.02,3,"LogNormal(0,3^2)",1.1312907630781646
HD,0.02,3,"Weibull(1,0.5)",1.0778916809123504
HD,0.02,3,"Exp(1) + Outliers",12.261499067700404
HD,0.02,4,"Uniform(0,1)",1.046038956268133
HD,0.02,4,"Beta(2,10)",1.0442630020806418
HD,0.02,4,"Normal(0,1^2)",1.0291983100713864
HD,0.02,4,"Weibull(1,2)",1.0416010472359318
HD,0.02,4,"Exp(1)",1.0601194573814827
HD,0.02,4,"Cauchy(0,1)",0.9135060093603589
HD,0.02,4,"Pareto(1,0.5)",0.04197814976536704
HD,0.02,4,"LogNormal(0,3^2)",1.1330001943796568
HD,0.02,4,"Weibull(1,0.5)",1.1013696207337873
HD,0.02,4,"Exp(1) + Outliers",0.26771763048155256
HD,0.02,5,"Uniform(0,1)",1.0620551184835874
HD,0.02,5,"Beta(2,10)",1.0593560627258527
HD,0.02,5,"Normal(0,1^2)",1.0367892390471471
HD,0.02,5,"Weibull(1,2)",1.0534767288548088
HD,0.02,5,"Exp(1)",1.076988266525172
HD,0.02,5,"Cauchy(0,1)",0.887565032351636
HD,0.02,5,"Pareto(1,0.5)",0.16106976696776096
HD,0.02,5,"LogNormal(0,3^2)",1.1973848112772492
HD,0.02,5,"Weibull(1,0.5)",1.1222772789086053
HD,0.02,5,"Exp(1) + Outliers",0.6599356808432769
HD,0.02,6,"Uniform(0,1)",1.0785165511742092
HD,0.02,6,"Beta(2,10)",1.07018685741508
HD,0.02,6,"Normal(0,1^2)",1.0440912665907132
HD,0.02,6,"Weibull(1,2)",1.0635170363274742
HD,0.02,6,"Exp(1)",1.0898277949950845
HD,0.02,6,"Cauchy(0,1)",0.856212015768889
HD,0.02,6,"Pareto(1,0.5)",1.0043887583603566
HD,0.02,6,"LogNormal(0,3^2)",1.2487224982253864
HD,0.02,6,"Weibull(1,0.5)",1.141713814157845
HD,0.02,6,"Exp(1) + Outliers",1.059371943952613
HD,0.02,7,"Uniform(0,1)",1.091269097014168
HD,0.02,7,"Beta(2,10)",1.0830575232857793
HD,0.02,7,"Normal(0,1^2)",1.0465988602179994
HD,0.02,7,"Weibull(1,2)",1.0735466946306833
HD,0.02,7,"Exp(1)",1.11174848640453
HD,0.02,7,"Cauchy(0,1)",0.8279262811556226
HD,0.02,7,"Pareto(1,0.5)",1.1422180381450746
HD,0.02,7,"LogNormal(0,3^2)",1.2700868364736064
HD,0.02,7,"Weibull(1,0.5)",1.1596589422529455
HD,0.02,7,"Exp(1) + Outliers",1.097792931807422
HD,0.02,8,"Uniform(0,1)",1.1063233418448166
HD,0.02,8,"Beta(2,10)",1.0958678385535028
HD,0.02,8,"Normal(0,1^2)",1.0547366575445973
HD,0.02,8,"Weibull(1,2)",1.0840846069048702
HD,0.02,8,"Exp(1)",1.1268365837536662
HD,0.02,8,"Cauchy(0,1)",0.8003611134307324
HD,0.02,8,"Pareto(1,0.5)",1.1697986385316121
HD,0.02,8,"LogNormal(0,3^2)",1.2440003240476523
HD,0.02,8,"Weibull(1,0.5)",1.2191130550145932
HD,0.02,8,"Exp(1) + Outliers",1.1207968270330821
HD,0.02,9,"Uniform(0,1)",1.1267879006753947
HD,0.02,9,"Beta(2,10)",1.1063383625407868
HD,0.02,9,"Normal(0,1^2)",1.0575107332013045
HD,0.02,9,"Weibull(1,2)",1.097365078944937
HD,0.02,9,"Exp(1)",1.1450513707572825
HD,0.02,9,"Cauchy(0,1)",0.7738867119037282
HD,0.02,9,"Pareto(1,0.5)",1.1797575178906117
HD,0.02,9,"LogNormal(0,3^2)",1.2678471164618903
HD,0.02,9,"Weibull(1,0.5)",1.198111558497003
HD,0.02,9,"Exp(1) + Outliers",1.135885462301705
HD,0.02,10,"Uniform(0,1)",1.1396230251434596
HD,0.02,10,"Beta(2,10)",1.120765943623022
HD,0.02,10,"Normal(0,1^2)",1.0593241525010675
HD,0.02,10,"Weibull(1,2)",1.110295521372747
HD,0.02,10,"Exp(1)",1.1556536297104596
HD,0.02,10,"Cauchy(0,1)",0.7467204843247951
HD,0.02,10,"Pareto(1,0.5)",1.2188597322438848
HD,0.02,10,"LogNormal(0,3^2)",1.318856036221392
HD,0.02,10,"Weibull(1,0.5)",1.229315602505718
HD,0.02,10,"Exp(1) + Outliers",1.1540242849216624
HD,0.02,11,"Uniform(0,1)",1.1620499416527537
HD,0.02,11,"Beta(2,10)",1.1291762407730104
HD,0.02,11,"Normal(0,1^2)",1.065745023800166
HD,0.02,11,"Weibull(1,2)",1.1210544328020022
HD,0.02,11,"Exp(1)",1.16978429310199
HD,0.02,11,"Cauchy(0,1)",0.7198339669491185
HD,0.02,11,"Pareto(1,0.5)",1.2109320539490223
HD,0.02,11,"LogNormal(0,3^2)",1.302395333082943
HD,0.02,11,"Weibull(1,0.5)",1.2778600370191417
HD,0.02,11,"Exp(1) + Outliers",1.1779936694624769
HD,0.02,12,"Uniform(0,1)",1.175656770859481
HD,0.02,12,"Beta(2,10)",1.1423242186589673
HD,0.02,12,"Normal(0,1^2)",1.067729421362109
HD,0.02,12,"Weibull(1,2)",1.133279859759708
HD,0.02,12,"Exp(1)",1.1887389781265738
HD,0.02,12,"Cauchy(0,1)",0.6945379136642175
HD,0.02,12,"Pareto(1,0.5)",1.2421479588976396
HD,0.02,12,"LogNormal(0,3^2)",1.2632730408053072
HD,0.02,12,"Weibull(1,0.5)",1.2865427331034218
HD,0.02,12,"Exp(1) + Outliers",1.190305259662702
HD,0.02,13,"Uniform(0,1)",1.1879300837188087
HD,0.02,13,"Beta(2,10)",1.1533804405328916
HD,0.02,13,"Normal(0,1^2)",1.059305742329446
HD,0.02,13,"Weibull(1,2)",1.1361936749500743
HD,0.02,13,"Exp(1)",1.217952058650488
HD,0.02,13,"Cauchy(0,1)",0.669205456186957
HD,0.02,13,"Pareto(1,0.5)",1.269139589033483
HD,0.02,13,"LogNormal(0,3^2)",1.409296861554945
HD,0.02,13,"Weibull(1,0.5)",1.3184333260841885
HD,0.02,13,"Exp(1) + Outliers",1.212070418280175
HD,0.02,14,"Uniform(0,1)",1.2136469968431904
HD,0.02,14,"Beta(2,10)",1.169694441069135
HD,0.02,14,"Normal(0,1^2)",1.0641584180538428
HD,0.02,14,"Weibull(1,2)",1.1576168559133793
HD,0.02,14,"Exp(1)",1.2366796588427
HD,0.02,14,"Cauchy(0,1)",0.6430273931200713
HD,0.02,14,"Pareto(1,0.5)",1.300837282280528
HD,0.02,14,"LogNormal(0,3^2)",1.4108704964111458
HD,0.02,14,"Weibull(1,0.5)",1.3686569085875142
HD,0.02,14,"Exp(1) + Outliers",1.2260343297674932
HD,0.02,15,"Uniform(0,1)",1.2263487414345506
HD,0.02,15,"Beta(2,10)",1.182467804583824
HD,0.02,15,"Normal(0,1^2)",1.0693391221264816
HD,0.02,15,"Weibull(1,2)",1.1689062777317918
HD,0.02,15,"Exp(1)",1.238881325728046
HD,0.02,15,"Cauchy(0,1)",0.6176190529291192
HD,0.02,15,"Pareto(1,0.5)",1.2913197735049071
HD,0.02,15,"LogNormal(0,3^2)",1.409609365426039
