distribution,x,pdf
"Beta(2,10)",0.20800000000000002,2.805321569455309
"Beta(2,10)",0.209,2.7869380770695833
"Beta(2,10)",0.21,2.7685718448247423
"Beta(2,10)",0.211,2.7502246217485937
"Beta(2,10)",0.212,2.7318981244559355
"Beta(2,10)",0.213,2.7135940375226917
"Beta(2,10)",0.214,2.6953140138568785
"Beta(2,10)",0.215,2.6770596750664084
"Beta(2,10)",0.216,2.658832611823767
"Beta(2,10)",0.217,2.6406343842275555
"Beta(2,10)",0.218,2.6224665221609498
"Beta(2,10)",0.219,2.6043305256470752
"Beta(2,10)",0.22,2.5862278652013266
"Beta(2,10)",0.221,2.5681599821806502
"Beta(2,10)",0.222,2.5501282891297925
"Beta(2,10)",0.223,2.5321341701245843
"Beta(2,10)",0.224,2.514178981112199
"Beta(2,10)",0.225,2.4962640502484956
"Beta(2,10)",0.226,2.4783906782323837
"Beta(2,10)",0.227,2.4605601386372893
"Beta(2,10)",0.228,2.4427736782397047
"Beta(2,10)",0.229,2.4250325173448646
"Beta(2,10)",0.23,2.4073378501095455
"Beta(2,10)",0.231,2.3896908448620295
"Beta(2,10)",0.232,2.372092644419225
"Beta(2,10)",0.233,2.354544366401002
"Beta(2,10)",0.234,2.337047103541707
"Beta(2,10)",0.23500000000000001,2.3196019239989303
"Beta(2,10)",0.23600000000000002,2.302209871659505
"Beta(2,10)",0.23700000000000002,2.284871966442775
"Beta(2,10)",0.23800000000000002,2.267589204601142
"Beta(2,10)",0.23900000000000002,2.250362559017919
"Beta(2,10)",0.24,2.2331929795024936
"Beta(2,10)",0.241,2.216081393082838
"Beta(2,10)",0.242,2.199028704295356
"Beta(2,10)",0.243,2.1820357954721246
"Beta(2,10)",0.244,2.165103527025501
"Beta(2,10)",0.245,2.148232737730153
"Beta(2,10)",0.246,2.131424245002513
"Beta(2,10)",0.247,2.1146788451776612
"Beta(2,10)",0.248,2.0979973137836785
"Beta(2,10)",0.249,2.081380405813473
"Beta(2,10)",0.25,2.0648288559941013
"Beta(2,10)",0.251,2.048343379053591
"Beta(2,10)",0.252,2.0319246699853113
"Beta(2,10)",0.253,2.015573404309854
"Beta(2,10)",0.254,1.9992902383345177
"Beta(2,10)",0.255,1.9830758094103336
"Beta(2,10)",0.256,1.9669307361866983
"Beta(2,10)",0.257,1.950855618863632
"Beta(2,10)",0.258,1.9348510394416332
"Beta(2,10)",0.259,1.9189175619692111
"Beta(2,10)",0.26,1.9030557327880504
"Beta(2,10)",0.261,1.8872660807758674
"Beta(2,10)",0.262,1.8715491175869579
"Beta(2,10)",0.263,1.8559053378904429
"Beta(2,10)",0.264,1.8403352196062548
"Beta(2,10)",0.265,1.8248392241388494
"Beta(2,10)",0.266,1.8094177966086806
"Beta(2,10)",0.267,1.794071366081453
"Beta(2,10)",0.268,1.7788003457951458
"Beta(2,10)",0.269,1.7636051333848588
"Beta(2,10)",0.27,1.7484861111054628
"Beta(2,10)",0.271,1.733443646052094
"Beta(2,10)",0.272,1.7184780903784873
"Beta(2,10)",0.273,1.703589781513189
"Beta(2,10)",0.274,1.6887790423736324
"Beta(2,10)",0.275,1.674046181578128
"Beta(2,10)",0.276,1.6593914936557435
"Beta(2,10)",0.277,1.644815259254125
"Beta(2,10)",0.278,1.6303177453452478
"Beta(2,10)",0.279,1.6158992054291328
"Beta(2,10)",0.28,1.6015598797355184
"Beta(2,10)",0.281,1.5872999954235334
"Beta(2,10)",0.28200000000000003,1.573119766779351
"Beta(2,10)",0.28300000000000003,1.5590193954118725
"Beta(2,10)",0.28400000000000003,1.5449990704464296
"Beta(2,10)",0.28500000000000003,1.5310589687165326
"Beta(2,10)",0.28600000000000003,1.5171992549536644
"Beta(2,10)",0.28700000000000003,1.5034200819751724
"Beta(2,10)",0.28800000000000003,1.4897215908702115
"Beta(2,10)",0.289,1.4761039111838097
"Beta(2,10)",0.29,1.4625671610990352
"Beta(2,10)",0.291,1.449111447617307
"Beta(2,10)",0.292,1.4357368667368071
"Beta(2,10)",0.293,1.4224435036291132
"Beta(2,10)",0.294,1.4092314328139177
"Beta(2,10)",0.295,1.3961007183320124
