probs,eff,estimator,n,distribution
0.6,1.09748037079718,hl,30,Exp
0.62,1.10117601557393,hl,30,Exp
0.64,1.09922888692782,hl,30,Exp
0.66,1.09739481337179,hl,30,Exp
0.68,1.0972577360751,hl,30,Exp
0.7,1.0974837464673,hl,30,Exp
0.72,1.09510783482212,hl,30,Exp
0.74,1.09026298756085,hl,30,Exp
0.76,1.08779148391342,hl,30,Exp
0.78,1.08767624184062,hl,30,Exp
0.8,1.08395977510898,hl,30,Exp
0.82,1.08780834572606,hl,30,Exp
0.84,1.08893742097742,hl,30,Exp
0.86,1.09186720684755,hl,30,Exp
0.88,1.08892859986371,hl,30,Exp
0.9,1.09311304917054,hl,30,Exp
0.1,2.5738382188923,median,30,LogNormal
0.12,2.56440781937796,median,30,LogNormal
0.14,2.57711562198394,median,30,LogNormal
0.16,2.58961730300754,median,30,LogNormal
0.18,2.58051238632677,median,30,LogNormal
0.2,2.59135639007238,median,30,LogNormal
0.22,2.60474331742181,median,30,LogNormal
0.24,2.61601224872744,median,30,LogNormal
0.26,2.60547446054651,median,30,LogNormal
0.28,2.62121287559109,median,30,LogNormal
0.3,2.61770284921738,median,30,LogNormal
0.32,2.60122094966369,median,30,LogNormal
0.34,2.59086641988365,median,30,LogNormal
0.36,2.60288758700776,median,30,LogNormal
0.38,2.60542500729227,median,30,LogNormal
0.4,2.60744042791309,median,30,LogNormal
0.42,2.60150475586959,median,30,LogNormal
0.44,2.60837769385101,median,30,LogNormal
0.46,2.6135237645091,median,30,LogNormal
0.48,2.61269462222919,median,30,LogNormal
0.5,2.60179508242367,median,30,LogNormal
0.52,2.61528874456159,median,30,LogNormal
0.54,2.6339424904072,median,30,LogNormal
0.56,2.62708519379616,median,30,LogNormal
0.58,2.62952493661816,median,30,LogNormal
0.6,2.63161597336583,median,30,LogNormal
0.62,2.62834981824421,median,30,LogNormal
0.64,2.6415781281279,median,30,LogNormal
0.66,2.64358894263624,median,30,LogNormal
0.68,2.65239368390398,median,30,LogNormal
0.7,2.6478702889538,median,30,LogNormal
0.72,2.64785509026796,median,30,LogNormal
0.74,2.64715208443024,median,30,LogNormal
0.76,2.65515928025003,median,30,LogNormal
0.78,2.65872877041116,median,30,LogNormal
