estimator,quantile,n,distribution,efficiency
HD,0.02,11,"Exp(1) + Outliers",1.1738342195994769
HD,0.02,12,"Uniform(0,1)",1.1728813143612218
HD,0.02,12,"Beta(2,10)",1.145707640551665
HD,0.02,12,"Normal(0,1^2)",1.0668123932621567
HD,0.02,12,"Weibull(1,2)",1.1308561502622154
HD,0.02,12,"Exp(1)",1.196461377675523
HD,0.02,12,"Cauchy(0,1)",0.6950051187306981
HD,0.02,12,"Pareto(1,0.5)",1.229912507886417
HD,0.02,12,"LogNormal(0,3^2)",1.3251637936975447
HD,0.02,12,"Weibull(1,0.5)",1.3140000275312909
HD,0.02,12,"Exp(1) + Outliers",1.2000673363305723
HD,0.02,13,"Uniform(0,1)",1.1958575975295804
HD,0.02,13,"Beta(2,10)",1.1571203927119298
HD,0.02,13,"Normal(0,1^2)",1.0620018160064728
HD,0.02,13,"Weibull(1,2)",1.1413173038103162
HD,0.02,13,"Exp(1)",1.209487450012004
HD,0.02,13,"Cauchy(0,1)",0.6700304405396339
HD,0.02,13,"Pareto(1,0.5)",1.2527834935581084
HD,0.02,13,"LogNormal(0,3^2)",1.3888723443124058
HD,0.02,13,"Weibull(1,0.5)",1.351054910419979
HD,0.02,13,"Exp(1) + Outliers",1.2146721696329192
HD,0.02,14,"Uniform(0,1)",1.2115140246294047
HD,0.02,14,"Beta(2,10)",1.1721362540396536
HD,0.02,14,"Normal(0,1^2)",1.06085009451947
HD,0.02,14,"Weibull(1,2)",1.154315343038587
HD,0.02,14,"Exp(1)",1.2260748928520369
HD,0.02,14,"Cauchy(0,1)",0.6426216880955375
HD,0.02,14,"Pareto(1,0.5)",1.2761948312038585
HD,0.02,14,"LogNormal(0,3^2)",1.4295503842431079
HD,0.02,14,"Weibull(1,0.5)",1.4073749743402577
HD,0.02,14,"Exp(1) + Outliers",1.239860282729286
HD,0.02,15,"Uniform(0,1)",1.2207892817907557
HD,0.02,15,"Beta(2,10)",1.1816357733691962
HD,0.02,15,"Normal(0,1^2)",1.0646697357283637
HD,0.02,15,"Weibull(1,2)",1.1730617233946279
HD,0.02,15,"Exp(1)",1.242051410426977
HD,0.02,15,"Cauchy(0,1)",0.6179088693249334
HD,0.02,15,"Pareto(1,0.5)",1.2658050166317913
HD,0.02,15,"LogNormal(0,3^2)",1.3936943307572924
HD,0.02,15,"Weibull(1,0.5)",1.4148615988687503
HD,0.02,15,"Exp(1) + Outliers",1.2406915355275738
HD,0.03,2,"Uniform(0,1)",1.023487364268002
HD,0.03,2,"Beta(2,10)",1.0337998862972009
HD,0.03,2,"Normal(0,1^2)",1.0211267720897952
HD,0.03,2,"Weibull(1,2)",1.029703384631265
HD,0.03,2,"Exp(1)",1.0496727203884615
HD,0.03,2,"Cauchy(0,1)",0.9626205601989439
HD,0.03,2,"Pareto(1,0.5)",16.003645579928538
HD,0.03,2,"LogNormal(0,3^2)",4.098023022218592
HD,0.03,2,"Weibull(1,0.5)",1.1042346080963956
HD,0.03,2,"Exp(1) + Outliers",1.173908253301152
HD,0.03,3,"Uniform(0,1)",1.0453176231687606
HD,0.03,3,"Beta(2,10)",1.052642100752578
HD,0.03,3,"Normal(0,1^2)",1.0336744670730327
HD,0.03,3,"Weibull(1,2)",1.0456052885107037
HD,0.03,3,"Exp(1)",1.0706845578963877
HD,0.03,3,"Cauchy(0,1)",0.9163051460736378
HD,0.03,3,"Pareto(1,0.5)",0.0018553516303860063
HD,0.03,3,"LogNormal(0,3^2)",1.2691343780551474
HD,0.03,3,"Weibull(1,0.5)",1.1284507430881492
HD,0.03,3,"Exp(1) + Outliers",10.868779336205055
HD,0.03,4,"Uniform(0,1)",1.0686123125778404
HD,0.03,4,"Beta(2,10)",1.0687549944614736
HD,0.03,4,"Normal(0,1^2)",1.0448654275264337
HD,0.03,4,"Weibull(1,2)",1.061528593141071
HD,0.03,4,"Exp(1)",1.0896169055302578
HD,0.03,4,"Cauchy(0,1)",0.8713478286795665
HD,0.03,4,"Pareto(1,0.5)",0.01105378879062161
HD,0.03,4,"LogNormal(0,3^2)",1.3923671573375775
HD,0.03,4,"Weibull(1,0.5)",1.1691958524874047
HD,0.03,4,"Exp(1) + Outliers",0.1319527168490283
HD,0.03,5,"Uniform(0,1)",1.0908844962342494
HD,0.03,5,"Beta(2,10)",1.0844594535124283
HD,0.03,5,"Normal(0,1^2)",1.0519839999864817
HD,0.03,5,"Weibull(1,2)",1.0790431800124585
HD,0.03,5,"Exp(1)",1.1126134907868244
HD,0.03,5,"Cauchy(0,1)",0.831254150575105
HD,0.03,5,"Pareto(1,0.5)",0.6149627774050384
HD,0.03,5,"LogNormal(0,3^2)",1.2615049599693793
HD,0.03,5,"Weibull(1,0.5)",1.2041714486319586
HD,0.03,5,"Exp(1) + Outliers",0.7177685539537753
HD,0.03,6,"Uniform(0,1)",1.114864457494383
HD,0.03,6,"Beta(2,10)",1.1055427781233904
HD,0.03,6,"Normal(0,1^2)",1.059389855880276
HD,0.03,6,"Weibull(1,2)",1.0944117546750733
HD,0.03,6,"Exp(1)",1.1448053577657933
HD,0.03,6,"Cauchy(0,1)",0.7914976977648865
HD,0.03,6,"Pareto(1,0.5)",0.9729771544333206
HD,0.03,6,"LogNormal(0,3^2)",1.2982316718907798
HD,0.03,6,"Weibull(1,0.5)",1.234024667373633
HD,0.03,6,"Exp(1) + Outliers",0.9742182811354346
HD,0.03,7,"Uniform(0,1)",1.1424795892162134
HD,0.03,7,"Beta(2,10)",1.1189997472244957
HD,0.03,7,"Normal(0,1^2)",1.0669417506459962
HD,0.03,7,"Weibull(1,2)",1.1091390698306047
HD,0.03,7,"Exp(1)",1.1684250813323098
HD,0.03,7,"Cauchy(0,1)",0.7496090514247833
HD,0.03,7,"Pareto(1,0.5)",1.251657865536143
HD,0.03,7,"LogNormal(0,3^2)",1.4094136989408503
HD,0.03,7,"Weibull(1,0.5)",1.2569912553067275
HD,0.03,7,"Exp(1) + Outliers",1.1442470107921165
HD,0.03,8,"Uniform(0,1)",1.1611504264927148
HD,0.03,8,"Beta(2,10)",1.1430449521091886
HD,0.03,8,"Normal(0,1^2)",1.0665938083520994
HD,0.03,8,"Weibull(1,2)",1.1294354067548489
HD,0.03,8,"Exp(1)",1.1937405119577982
HD,0.03,8,"Cauchy(0,1)",0.7107759004537196
HD,0.03,8,"Pareto(1,0.5)",1.272246243378498
HD,0.03,8,"LogNormal(0,3^2)",1.386733514808982
HD,0.03,8,"Weibull(1,0.5)",1.3286253047509926
HD,0.03,8,"Exp(1) + Outliers",1.185003454672822
HD,0.03,9,"Uniform(0,1)",1.1901471414240494
HD,0.03,9,"Beta(2,10)",1.1601134301235252
HD,0.03,9,"Normal(0,1^2)",1.0710043265050162
HD,0.03,9,"Weibull(1,2)",1.1467280226461334
HD,0.03,9,"Exp(1)",1.2210107287556087
HD,0.03,9,"Cauchy(0,1)",0.6722260979314715
HD,0.03,9,"Pareto(1,0.5)",1.2640373909611642
HD,0.03,9,"LogNormal(0,3^2)",1.394377433191942
HD,0.03,9,"Weibull(1,0.5)",1.344351219101307
HD,0.03,9,"Exp(1) + Outliers",1.2252561118408405
HD,0.03,10,"Uniform(0,1)",1.2191473560955601
HD,0.03,10,"Beta(2,10)",1.1822123704445777
HD,0.03,10,"Normal(0,1^2)",1.0759829361378752
HD,0.03,10,"Weibull(1,2)",1.1629315158249496
HD,0.03,10,"Exp(1)",1.2543057726785176
HD,0.03,10,"Cauchy(0,1)",0.6348517453307467
HD,0.03,10,"Pareto(1,0.5)",1.3185210612118208
HD,0.03,10,"LogNormal(0,3^2)",1.4123268070150972
HD,0.03,10,"Weibull(1,0.5)",1.3840356249605648
HD,0.03,10,"Exp(1) + Outliers",1.2538408317002046
HD,0.03,11,"Uniform(0,1)",1.25219461879645
HD,0.03,11,"Beta(2,10)",1.2038033213942745
HD,0.03,11,"Normal(0,1^2)",1.074252200489339
HD,0.03,11,"Weibull(1,2)",1.1849750615016852
HD,0.03,11,"Exp(1)",1.265859004714028
HD,0.03,11,"Cauchy(0,1)",0.5972388820304481
HD,0.03,11,"Pareto(1,0.5)",1.3361475035993455
HD,0.03,11,"LogNormal(0,3^2)",1.4161178037387878
HD,0.03,11,"Weibull(1,0.5)",1.4504048768883486
HD,0.03,11,"Exp(1) + Outliers",1.2787522515979506
HD,0.03,12,"Uniform(0,1)",1.2690351925520844
HD,0.03,12,"Beta(2,10)",1.2277036292166368
HD,0.03,12,"Normal(0,1^2)",1.0861434113918553
HD,0.03,12,"Weibull(1,2)",1.194507262950595
HD,0.03,12,"Exp(1)",1.3089605197115508
HD,0.03,12,"Cauchy(0,1)",0.5617571571613547
HD,0.03,12,"Pareto(1,0.5)",1.3760092706193847
HD,0.03,12,"LogNormal(0,3^2)",1.445639000582291
HD,0.03,12,"Weibull(1,0.5)",1.5285009590259306
HD,0.03,12,"Exp(1) + Outliers",1.3155534479381024
HD,0.03,13,"Uniform(0,1)",1.2934839878010076
HD,0.03,13,"Beta(2,10)",1.245098774139861
HD,0.03,13,"Normal(0,1^2)",1.0672846207912774
HD,0.03,13,"Weibull(1,2)",1.2206742137984257
HD,0.03,13,"Exp(1)",1.3091420377765313
HD,0.03,13,"Cauchy(0,1)",0.5255599748557663
HD,0.03,13,"Pareto(1,0.5)",1.3987325476328505
HD,0.03,13,"LogNormal(0,3^2)",1.498947022134109
HD,0.03,13,"Weibull(1,0.5)",1.5713800787630003
HD,0.03,13,"Exp(1) + Outliers",1.3347859998401062
HD,0.03,14,"Uniform(0,1)",1.321867949434492
HD,0.03,14,"Beta(2,10)",1.259460429826386
HD,0.03,14,"Normal(0,1^2)",1.0683079870081562
HD,0.03,14,"Weibull(1,2)",1.2422283223101236
HD,0.03,14,"Exp(1)",1.3530420554829508
HD,0.03,14,"Cauchy(0,1)",0.4916618479805702
HD,0.03,14,"Pareto(1,0.5)",1.3986450588322745
HD,0.03,14,"LogNormal(0,3^2)",1.544894218631961
HD,0.03,14,"Weibull(1,0.5)",1.506636261572202
HD,0.03,14,"Exp(1) + Outliers",1.3655994439025005
HD,0.03,15,"Uniform(0,1)",1.3621657868804313
HD,0.03,15,"Beta(2,10)",1.280130378182214
HD,0.03,15,"Normal(0,1^2)",1.0469533668186006
HD,0.03,15,"Weibull(1,2)",1.254547347020583
HD,0.03,15,"Exp(1)",1.3790560258656865
HD,0.03,15,"Cauchy(0,1)",0.4559855684693048
HD,0.03,15,"Pareto(1,0.5)",1.4644634541613997
HD,0.03,15,"LogNormal(0,3^2)",1.5479806805563632
HD,0.03,15,"Weibull(1,0.5)",1.5458413488591995
HD,0.03,15,"Exp(1) + Outliers",1.3759299157458578
HD,0.04,2,"Uniform(0,1)",1.0302933529858727
HD,0.04,2,"Beta(2,10)",1.0449241983172288
HD,0.04,2,"Normal(0,1^2)",1.0292420713798964
HD,0.04,2,"Weibull(1,2)",1.0387418685765277
HD,0.04,2,"Exp(1)",1.0644427517819581
HD,0.04,2,"Cauchy(0,1)",0.9454212410797692
HD,0.04,2,"Pareto(1,0.5)",15.065624541955911
HD,0.04,2,"LogNormal(0,3^2)",5.197092521600323
HD,0.04,2,"Weibull(1,0.5)",1.149608457765768
HD,0.04,2,"Exp(1) + Outliers",7.239663114244683
HD,0.04,3,"Uniform(0,1)",1.060933921394755
HD,0.04,3,"Beta(2,10)",1.0681608115653813
HD,0.04,3,"Normal(0,1^2)",1.0430202443523118
HD,0.04,3,"Weibull(1,2)",1.060289124768813
HD,0.04,3,"Exp(1)",1.0909664814367737
