estimator,quantile,n,distribution,efficiency
HD,0.02,23,"Weibull(1,2)",1.25803986943641
HD,0.02,23,"Cauchy(0,1)",0.4297025696177011
HD,0.02,23,"Pareto(1,0.5)",1.453818658716254
HD,0.02,23,"LogNormal(0,3^2)",1.5576976980851447
HD,0.02,23,"Exp(1) + Outliers",1.4169129700107943
HD,0.02,24,"Beta(2,10)",1.3112262106996107
HD,0.02,24,"Uniform(0,1)",1.4157784210441808
HD,0.02,24,"Normal(0,1^2)",1.0394373465573272
HD,0.02,24,"Weibull(1,2)",1.267983586248475
HD,0.02,24,"Cauchy(0,1)",0.40862941228283284
HD,0.02,24,"Pareto(1,0.5)",1.4606050026489896
HD,0.02,24,"LogNormal(0,3^2)",1.575696517864217
HD,0.02,24,"Exp(1) + Outliers",1.4424987027023626
HD,0.02,25,"Beta(2,10)",1.3251514632724921
HD,0.02,25,"Uniform(0,1)",1.4525919898445092
HD,0.02,25,"Normal(0,1^2)",1.0477470348412559
HD,0.02,25,"Weibull(1,2)",1.2807437036004323
HD,0.02,25,"Cauchy(0,1)",0.3854059334275397
HD,0.02,25,"Pareto(1,0.5)",1.4803139889095158
HD,0.02,25,"LogNormal(0,3^2)",1.6012198009613057
HD,0.02,25,"Exp(1) + Outliers",1.4362356173097128
HD,0.02,26,"Beta(2,10)",1.3392840292486277
HD,0.02,26,"Uniform(0,1)",1.4465462080237446
HD,0.02,26,"Normal(0,1^2)",1.031254311830609
HD,0.02,26,"Weibull(1,2)",1.3077254365301412
HD,0.02,26,"Cauchy(0,1)",0.362599537074031
HD,0.02,26,"Pareto(1,0.5)",1.4875838052841335
HD,0.02,26,"LogNormal(0,3^2)",1.6031393132435168
HD,0.02,26,"Exp(1) + Outliers",1.4623682768370352
HD,0.02,27,"Beta(2,10)",1.33756388062929
HD,0.02,27,"Uniform(0,1)",1.4633129593907985
HD,0.02,27,"Normal(0,1^2)",1.0432847893199948
HD,0.02,27,"Weibull(1,2)",1.3105461183057987
HD,0.02,27,"Cauchy(0,1)",0.34298536735351015
HD,0.02,27,"Pareto(1,0.5)",1.5304679947254325
HD,0.02,27,"LogNormal(0,3^2)",1.6547850828178157
HD,0.02,27,"Exp(1) + Outliers",1.4980714915640194
HD,0.02,28,"Beta(2,10)",1.3633816367156681
HD,0.02,28,"Uniform(0,1)",1.519050356997212
HD,0.02,28,"Normal(0,1^2)",1.0368023067774184
HD,0.02,28,"Weibull(1,2)",1.317557506303339
HD,0.02,28,"Cauchy(0,1)",0.32286030881631744
HD,0.02,28,"Pareto(1,0.5)",1.510526485838279
HD,0.02,28,"LogNormal(0,3^2)",1.5658375169680656
HD,0.02,28,"Exp(1) + Outliers",1.483708998197623
HD,0.02,29,"Beta(2,10)",1.3861260787242646
